NAME,WEEKS
Devaughn Vele,"[(1, 'SEA', 0.0), (6, 'LAC', 0.0), (10, 'KC', 0.0), (12, 'LV', 0.0)]"
Brock Bowers,"[(1, 'LAC', 0.0), (2, 'BAL', 0.0), (5, 'DEN', 0.0), (6, 'PIT', 0.0), (7, 'LAR', 0.0), (9, 'CIN', 0.0), (11, 'MIA', 0.0), (13, 'KC', 0.0)]"
Wan'Dale Robinson,"[(1, 'MIN', 0.0), (3, 'CLE', 0.0), (4, 'DAL', 0.0), (5, 'SEA', 0.0), (10, 'CAR', 0.0)]"
Kyle Pitts,"[(1, 'PIT', 0.0), (5, 'TB', 0.0), (7, 'SEA', 0.0), (8, 'TB', 0.0), (10, 'NO', 0.0)]"
Malik Nabers,"[(1, 'MIN', 0.0), (2, 'WAS', 0.0), (3, 'CLE', 0.0), (4, 'DAL', 0.0), (8, 'PIT', 0.0), (9, 'WAS', 0.0), (10, 'CAR', 0.0), (12, 'TB', 0.0), (13, 'DAL', 0.0)]"
Justice Hill,"[(1, 'KC', 0.0), (4, 'BUF', 0.0), (7, 'TB', 0.0), (12, 'LAC', 0.0)]"
Jerry Jeudy,"[(1, 'DAL', 0.0), (2, 'JAX', 0.0), (4, 'LV', 0.0), (8, 'BAL', 0.0), (9, 'LAC', 0.0), (11, 'NO', 0.0), (12, 'PIT', 0.0), (13, 'DEN', 0.0)]"
Dak Prescott,"[(1, 'CLE', 0.0), (2, 'NO', 0.0), (3, 'BAL', 0.0), (4, 'NYG', 0.0), (5, 'PIT', 0.0), (8, 'SF', 0.0), (9, 'ATL', 0.0)]"
Jauan Jennings,"[(1, 'NYJ', 0.0), (3, 'LAR', 0.0), (4, 'NE', 0.0), (10, 'TB', 0.0), (11, 'SEA', 0.0)]"
Jared Goff,"[(1, 'LAR', 0.0), (3, 'ARI', 0.0), (4, 'SEA', 0.0), (6, 'DAL', 0.0), (7, 'MIN', 0.0), (8, 'TEN', 0.0), (11, 'JAX', 0.0), (12, 'IND', 0.0), (13, 'CHI', 0.0)]"
Trevor Lawrence,"[(1, 'MIA', 0.0), (2, 'CLE', 0.0), (4, 'HOU', 0.0), (5, 'IND', 0.0), (6, 'CHI', 0.0), (7, 'NE', 0.0), (8, 'GB', 0.0), (9, 'PHI', 0.0)]"
